ID,Type,Time,percent
IDL_Particles_nmol_l,EDTA,6,16.68125184
IDL_Particles_nmol_l,EDTA,8,21.75493333
LDL_Particles_nmol_l,EDTA,2,4.745616375
LDL_Particles_nmol_l,EDTA,4,9.465634194
LDL_Particles_nmol_l,EDTA,6,12.95293432
LDL_Particles_nmol_l,EDTA,8,16.82423192
LDL_1_Particles_nmol_l,EDTA,2,-1.694657739
LDL_1_Particles_nmol_l,EDTA,4,-2.101124242
LDL_1_Particles_nmol_l,EDTA,6,-0.461194031
LDL_1_Particles_nmol_l,EDTA,8,-0.240109787
LDL_2_Particles_nmol_l,EDTA,2,-0.751317593
LDL_2_Particles_nmol_l,EDTA,4,2.602689937
LDL_2_Particles_nmol_l,EDTA,6,4.589093858
LDL_2_Particles_nmol_l,EDTA,8,-12.50405532
LDL_3_Particles_nmol_l,EDTA,2,2.59669338
LDL_3_Particles_nmol_l,EDTA,4,4.15859386
LDL_3_Particles_nmol_l,EDTA,6,7.333972325
LDL_3_Particles_nmol_l,EDTA,8,10.36237023
LDL_4_Particles_nmol_l,EDTA,2,6.229056062
LDL_4_Particles_nmol_l,EDTA,4,9.675232487
LDL_4_Particles_nmol_l,EDTA,6,12.81205366
LDL_4_Particles_nmol_l,EDTA,8,16.90499126
LDL_5_Particles_nmol_l,EDTA,2,10.80125146
LDL_5_Particles_nmol_l,EDTA,4,19.18736185
LDL_5_Particles_nmol_l,EDTA,6,23.64590559
LDL_5_Particles_nmol_l,EDTA,8,30.28785607
LDL_6_Particles_nmol_l,EDTA,2,8.372661518
LDL_6_Particles_nmol_l,EDTA,4,17.2850993
LDL_6_Particles_nmol_l,EDTA,6,23.40325644
LDL_6_Particles_nmol_l,EDTA,8,28.97798125
TG_VLDL_mg_d_l,EDTA,2,3.617247125
TG_VLDL_mg_d_l,EDTA,4,7.46062491
TG_VLDL_mg_d_l,EDTA,6,12.4795917
TG_VLDL_mg_d_l,EDTA,8,16.09365211
TG_IDL_mg_d_l,EDTA,2,0.654968981
TG_IDL_mg_d_l,EDTA,4,5.08634372
TG_IDL_mg_d_l,EDTA,6,10.40339985
