ID,Draw,Centrifugation,Freeze,PreCent,PostCent,TTF
S2037,20/10/2022 12:31,20/10/2022 13:46,20/10/2022 14:26,1.25,0.666666667,1.916666667
S1941,15/11/2022 08:55,15/11/2022 10:10,15/11/2022 10:39,1.25,0.483333333,1.733333333
S2364,29/07/2022 09:39,29/07/2022 10:54,29/07/2022 11:23,1.25,0.483333333,1.733333333
S2172,26/09/2022 12:42,26/09/2022 13:57,26/09/2022 14:24,1.25,0.45,1.7
S2038,20/10/2022 11:53,20/10/2022 13:09,20/10/2022 14:03,1.266666667,0.9,2.166666667
S2142,04/10/2022 11:27,04/10/2022 12:44,04/10/2022 14:13,1.283333333,1.483333333,2.766666667
S1849,08/12/2022 13:47,08/12/2022 15:04,08/12/2022 15:57,1.283333333,0.883333333,2.166666667
S2630,26/07/2021 07:00,26/07/2021 08:17,26/07/2021 09:00,1.283333333,0.716666667,2
S2631,26/07/2021 07:00,26/07/2021 08:17,26/07/2021 09:00,1.283333333,0.716666667,2
S1896,25/11/2022 07:28,25/11/2022 08:45,25/11/2022 09:19,1.283333333,0.566666667,1.85
S2452,19/07/2022 08:50,19/07/2022 10:08,19/07/2022 11:43,1.3,1.583333333,2.883333333
S2291,17/08/2022 13:21,17/08/2022 14:39,17/08/2022 15:26,1.3,0.783333333,2.083333333
S2057,19/10/2022 11:16,19/10/2022 12:34,19/10/2022 13:09,1.3,0.583333333,1.883333333
S1895,25/11/2022 08:40,25/11/2022 09:58,25/11/2022 10:29,1.3,0.516666667,1.816666667
S2470,14/07/2022 13:58,14/07/2022 15:16,14/07/2022 15:38,1.3,0.366666667,1.666666667
S2019,26/10/2022 11:18,26/10/2022 12:37,26/10/2022 14:07,1.316666667,1.5,2.816666667
S2258,25/08/2022 12:27,25/08/2022 13:46,25/08/2022 14:16,1.316666667,0.5,1.816666667
S1983,04/11/2022 09:44,04/11/2022 11:04,04/11/2022 11:35,1.333333333,0.516666667,1.85
S2365,29/07/2022 09:34,29/07/2022 10:54,29/07/2022 11:23,1.333333333,0.483333333,1.816666667
S2490,13/07/2022 11:06,13/07/2022 12:27,13/07/2022 14:15,1.35,1.8,3.15
S1907,23/11/2022 09:10,23/11/2022 10:31,23/11/2022 11:25,1.35,0.9,2.25
S1853,08/12/2022 09:20,08/12/2022 10:41,08/12/2022 11:23,1.35,0.7,2.05
S2372,28/07/2022 09:59,28/07/2022 11:22,28/07/2022 14:11,1.383333333,2.816666667,4.2
S1840,12/12/2022 11:18,12/12/2022 12:41,12/12/2022 14:15,1.383333333,1.566666667,2.95
S2104,12/10/2022 09:09,12/10/2022 10:32,12/10/2022 11:27,1.383333333,0.916666667,2.3
S2422,21/07/2022 10:06,21/07/2022 11:29,21/07/2022 12:09,1.383333333,0.666666667,2.05
S2303,16/08/2022 08:05,16/08/2022 09:29,16/08/2022 10:55,1.4,1.433333333,2.833333333
S2058,19/10/2022 10:35,19/10/2022 11:59,19/10/2022 13:09,1.4,1.166666667,2.566666667
S2105,12/10/2022 09:08,12/10/2022 10:32,12/10/2022 11:27,1.4,0.916666667,2.316666667
S1928,18/11/2022 08:38,18/11/2022 10:02,18/11/2022 10:51,1.4,0.816666667,2.216666667
S2200,13/09/2022 12:59,13/09/2022 14:23,13/09/2022 15:09,1.4,0.766666667,2.166666667
S2544,05/07/2022 09:08,05/07/2022 10:33,05/07/2022 12:44,1.416666667,2.183333333,3.6
S2405,25/07/2022 10:13,25/07/2022 11:38,25/07/2022 13:02,1.416666667,1.4,2.816666667
S1829,14/12/2022 12:10,14/12/2022 13:35,14/12/2022 14:43,1.416666667,1.133333333,2.55
S2495,13/07/2022 09:08,13/07/2022 10:33,13/07/2022 11:33,1.416666667,1,2.416666667
S2147,04/10/2022 09:19,04/10/2022 10:44,04/10/2022 11:36,1.416666667,0.866666667,2.283333333
S2051,19/10/2022 12:33,19/10/2022 13:58,19/10/2022 14:44,1.416666667,0.766666667,2.183333333
S1912,22/11/2022 11:24,22/11/2022 12:49,22/11/2022 13:20,1.416666667,0.516666667,1.933333333
S2360,01/08/2022 09:18,01/08/2022 10:44,01/08/2022 14:32,1.433333333,3.8,5.233333333
S2482,14/07/2022 09:10,14/07/2022 10:36,14/07/2022 13:10,1.433333333,2.566666667,4
S2322,08/08/2022 14:32,08/08/2022 15:58,08/08/2022 16:45,1.433333333,0.783333333,2.216666667
S2197,14/09/2022 09:10,14/09/2022 10:36,14/09/2022 11:11,1.433333333,0.583333333,2.016666667
S2386,27/07/2022 09:05,27/07/2022 10:31,27/07/2022 11:03,1.433333333,0.533333333,1.966666667
S2561,27/04/2022 09:55,27/04/2022 11:21,27/04/2022 11:51,1.433333333,0.5,1.933333333
S1845,09/12/2022 08:04,09/12/2022 09:31,09/12/2022 10:37,1.45,1.1,2.55
S1837,13/12/2022 08:55,13/12/2022 10:22,13/12/2022 11:25,1.45,1.05,2.5
S1929,18/11/2022 08:35,18/11/2022 10:02,18/11/2022 10:51,1.45,0.816666667,2.266666667
S2430,20/07/2022 14:11,20/07/2022 15:38,20/07/2022 16:27,1.45,0.816666667,2.266666667
S2554,04/07/2022 10:34,04/07/2022 12:01,04/07/2022 12:31,1.45,0.5,1.95
S2562,27/04/2022 09:54,27/04/2022 11:21,27/04/2022 11:51,1.45,0.5,1.95
S2486,13/07/2022 13:32,13/07/2022 14:59,13/07/2022 15:27,1.45,0.466666667,1.916666667
S2328,08/08/2022 10:30,08/08/2022 11:58,08/08/2022 14:54,1.466666667,2.933333333,4.4
S1974,07/11/2022 13:06,07/11/2022 14:34,07/11/2022 16:04,1.466666667,1.5,2.966666667
S2283,18/08/2022 14:11,18/08/2022 15:39,18/08/2022 16:13,1.466666667,0.566666667,2.033333333
S2263,24/08/2022 14:11,24/08/2022 15:39,24/08/2022 16:12,1.466666667,0.55,2.016666667
S2387,27/07/2022 09:03,27/07/2022 10:31,27/07/2022 11:03,1.466666667,0.533333333,2
S2135,05/10/2022 11:21,05/10/2022 12:50,05/10/2022 14:18,1.483333333,1.466666667,2.95
S1846,09/12/2022 08:02,09/12/2022 09:31,09/12/2022 10:37,1.483333333,1.1,2.583333333
S1877,01/12/2022 09:43,01/12/2022 11:12,01/12/2022 11:32,1.483333333,0.333333333,1.816666667
S2072,18/10/2022 10:29,18/10/2022 11:59,18/10/2022 14:30,1.5,2.516666667,4.016666667
S2332,05/08/2022 11:11,05/08/2022 12:41,05/08/2022 14:21,1.5,1.666666667,3.166666667
S1927,18/11/2022 09:10,18/11/2022 10:40,18/11/2022 11:25,1.5,0.75,2.25
S2412,21/07/2022 13:30,21/07/2022 15:00,21/07/2022 15:44,1.5,0.733333333,2.233333333
S2247,29/08/2022 14:38,29/08/2022 16:08,29/08/2022 16:42,1.5,0.566666667,2.066666667
S2558,23/05/2022 09:18,23/05/2022 10:48,23/05/2022 11:22,1.5,0.566666667,2.066666667
S2471,14/07/2022 13:04,14/07/2022 14:34,14/07/2022 15:05,1.5,0.516666667,2.016666667
S2005,02/11/2022 10:03,02/11/2022 11:34,02/11/2022 15:36,1.516666667,4.033333333,5.55
S2634,12/04/2021 07:52,12/04/2021 09:23,12/04/2021 11:56,1.516666667,2.55,4.066666667
S2628,17/08/2021 07:00,17/08/2021 08:31,17/08/2021 10:52,1.516666667,2.35,3.866666667
S2249,29/08/2022 11:36,29/08/2022 13:07,29/08/2022 14:32,1.516666667,1.416666667,2.933333333
S2228,01/09/2022 12:34,01/09/2022 14:05,01/09/2022 14:40,1.516666667,0.583333333,2.1
S2449,19/07/2022 10:00,19/07/2022 11:32,19/07/2022 14:12,1.533333333,2.666666667,4.2
S2112,11/10/2022 11:10,11/10/2022 12:42,11/10/2022 14:32,1.533333333,1.833333333,3.366666667
S2599,13/12/2021 13:02,13/12/2021 14:34,13/12/2021 15:14,1.533333333,0.666666667,2.2
S1894,25/11/2022 09:15,25/11/2022 10:47,25/11/2022 11:23,1.533333333,0.6,2.133333333
S2437,20/07/2022 11:30,20/07/2022 13:03,20/07/2022 14:18,1.55,1.25,2.8
S1916,22/11/2022 08:48,22/11/2022 10:21,22/11/2022 11:17,1.55,0.933333333,2.483333333
S2424,21/07/2022 09:56,21/07/2022 11:29,21/07/2022 12:09,1.55,0.666666667,2.216666667
S2264,24/08/2022 14:06,24/08/2022 15:39,24/08/2022 16:12,1.55,0.55,2.1
S1975,07/11/2022 12:26,07/11/2022 14:00,07/11/2022 14:51,1.566666667,0.85,2.416666667
S2478,14/07/2022 10:55,14/07/2022 12:29,14/07/2022 13:10,1.566666667,0.683333333,2.25
S1871,01/12/2022 12:08,01/12/2022 13:42,01/12/2022 14:04,1.566666667,0.366666667,1.933333333
S1891,28/11/2022 08:55,28/11/2022 10:30,28/11/2022 11:36,1.583333333,1.1,2.683333333
S2532,06/07/2022 14:12,06/07/2022 15:47,06/07/2022 16:24,1.583333333,0.616666667,2.2
S2191,20/09/2022 09:42,20/09/2022 11:18,20/09/2022 13:06,1.6,1.8,3.4
S2078,17/10/2022 12:25,17/10/2022 14:01,17/10/2022 15:33,1.6,1.533333333,3.133333333
S2232,01/09/2022 10:28,01/09/2022 12:04,01/09/2022 12:54,1.6,0.833333333,2.433333333
S2084,14/10/2022 14:02,14/10/2022 15:39,14/10/2022 16:14,1.616666667,0.583333333,2.2
S2122,07/10/2022 09:00,07/10/2022 10:37,07/10/2022 11:12,1.616666667,0.583333333,2.2
S2284,18/08/2022 14:02,18/08/2022 15:39,18/08/2022 16:13,1.616666667,0.566666667,2.183333333
S2064,19/10/2022 08:41,19/10/2022 10:19,19/10/2022 11:07,1.633333333,0.8,2.433333333
S2336,04/08/2022 13:29,04/08/2022 15:07,04/08/2022 15:52,1.633333333,0.75,2.383333333
S2219,05/09/2022 13:28,05/09/2022 15:07,05/09/2022 16:21,1.65,1.233333333,2.883333333
S2169,26/09/2022 14:10,26/09/2022 15:49,26/09/2022 16:27,1.65,0.633333333,2.283333333
S2411,21/07/2022 13:30,21/07/2022 15:09,21/07/2022 15:44,1.65,0.583333333,2.233333333
S2525,08/07/2022 09:49,08/07/2022 11:28,08/07/2022 12:00,1.65,0.533333333,2.183333333
S2473,14/07/2022 12:56,14/07/2022 14:35,14/07/2022 15:05,1.65,0.5,2.15
S2333,05/08/2022 09:32,05/08/2022 11:11,05/08/2022 11:40,1.65,0.483333333,2.133333333
S2173,26/09/2022 12:18,26/09/2022 13:57,26/09/2022 14:24,1.65,0.45,2.1
S2396,26/07/2022 07:00,26/07/2022 08:40,26/07/2022 11:03,1.666666667,2.383333333,4.05
S2358,01/08/2022 10:57,01/08/2022 12:37,01/08/2022 14:32,1.666666667,1.916666667,3.583333333
S1832,14/12/2022 11:08,14/12/2022 12:48,14/12/2022 14:13,1.666666667,1.416666667,3.083333333
S2237,31/08/2022 12:47,31/08/2022 14:27,31/08/2022 15:05,1.666666667,0.633333333,2.3
S1947,14/11/2022 13:52,14/11/2022 15:32,14/11/2022 16:03,1.666666667,0.516666667,2.183333333
S1860,05/12/2022 12:46,05/12/2022 14:26,05/12/2022 14:48,1.666666667,0.366666667,2.033333333
S2143,04/10/2022 11:03,04/10/2022 12:44,04/10/2022 14:13,1.683333333,1.483333333,3.166666667
S2233,01/09/2022 10:23,01/09/2022 12:04,01/09/2022 12:54,1.683333333,0.833333333,2.516666667
S2413,21/07/2022 13:19,21/07/2022 15:00,21/07/2022 15:44,1.683333333,0.733333333,2.416666667
S2345,03/08/2022 12:41,03/08/2022 14:22,03/08/2022 15:03,1.683333333,0.683333333,2.366666667
S1956,10/11/2022 10:20,10/11/2022 12:02,10/11/2022 13:29,1.7,1.45,3.15
S2238,31/08/2022 12:12,31/08/2022 13:54,31/08/2022 15:05,1.7,1.183333333,2.883333333
S2254,29/08/2022 09:00,29/08/2022 10:42,29/08/2022 11:47,1.7,1.083333333,2.783333333
