ID,Type,Time,percent
LDL_6_Particles,EDTA,2,11.64428339
LDL_6_Particles,EDTA,4,27.94796976
LDL_6_Particles,EDTA,6,34.8385546
LDL_6_Particles,EDTA,8,41.62041914
TG_VLDL,EDTA,2,4.429537814
TG_VLDL,EDTA,4,10.0864275
TG_VLDL,EDTA,6,12.05794735
TG_VLDL,EDTA,8,15.40161604
TG_IDL,EDTA,2,1.793554508
TG_IDL,EDTA,4,6.068681018
TG_IDL,EDTA,6,11.34877946
TG_IDL,EDTA,8,12.14672308
TG_LDL,EDTA,2,5.59590979
TG_LDL,EDTA,4,12.66733627
TG_LDL,EDTA,6,18.03853674
TG_LDL,EDTA,8,20.48219342
TG_HDL,EDTA,2,4.439450659
TG_HDL,EDTA,4,7.460759381
TG_HDL,EDTA,6,13.9890015
TG_HDL,EDTA,8,13.39809943
CHOL_VLDL,EDTA,2,5.261707679
CHOL_VLDL,EDTA,4,12.13845004
CHOL_VLDL,EDTA,6,16.46224748
CHOL_VLDL,EDTA,8,17.85748757
CHOL_IDL,EDTA,2,6.594270932
CHOL_IDL,EDTA,4,15.14120189
CHOL_IDL,EDTA,6,21.30112598
CHOL_IDL,EDTA,8,23.73195935
fCHOL_VLDL,EDTA,2,4.905574891
fCHOL_VLDL,EDTA,4,9.18658544
fCHOL_VLDL,EDTA,6,11.44227134
fCHOL_VLDL,EDTA,8,13.54449944
fCHOL_IDL,EDTA,2,6.873975518
fCHOL_IDL,EDTA,4,15.23164685
fCHOL_IDL,EDTA,6,21.45773126
fCHOL_IDL,EDTA,8,23.57579235
fCHOL_LDL,EDTA,2,3.740251027
fCHOL_LDL,EDTA,4,10.46317186
fCHOL_LDL,EDTA,6,13.05303585
fCHOL_LDL,EDTA,8,17.76802719
fCHOL_HDL,EDTA,2,5.341835412
fCHOL_HDL,EDTA,4,8.574949654
fCHOL_HDL,EDTA,6,12.89393441
fCHOL_HDL,EDTA,8,16.63114043
PHOSL_VLDL,EDTA,2,1.955246403
PHOSL_VLDL,EDTA,4,6.37006247
PHOSL_VLDL,EDTA,6,4.878481003
PHOSL_VLDL,EDTA,8,7.03135355
PHOSL_IDL,EDTA,2,3.156894721
PHOSL_IDL,EDTA,4,12.31206323
PHOSL_IDL,EDTA,6,15.38589331
PHOSL_IDL,EDTA,8,19.66043725
PHOSL_LDL,EDTA,2,1.401529104
PHOSL_LDL,EDTA,4,7.406499336
PHOSL_LDL,EDTA,6,8.505902446
PHOSL_LDL,EDTA,8,12.60577781
PHOSL_HDL,EDTA,2,0.710167097
PHOSL_HDL,EDTA,4,1.770768135
PHOSL_HDL,EDTA,6,2.550409263
PHOSL_HDL,EDTA,8,5.398852105
ApoA1_HDL,EDTA,2,3.688880354
ApoA1_HDL,EDTA,4,6.432699973
ApoA1_HDL,EDTA,6,10.66531196
ApoA1_HDL,EDTA,8,13.86763313
ApoA2_HDL,EDTA,2,2.604746266
ApoA2_HDL,EDTA,4,6.79078664
ApoA2_HDL,EDTA,6,7.966367776
ApoA2_HDL,EDTA,8,13.52083734
ApoB_VLDL,EDTA,2,1.369494112
ApoB_VLDL,EDTA,4,3.19998666
ApoB_VLDL,EDTA,6,2.51854626
ApoB_VLDL,EDTA,8,3.404842856
ApoB_IDL,EDTA,2,3.800952452
ApoB_IDL,EDTA,4,11.39471344
ApoB_IDL,EDTA,6,14.24237124
ApoB_IDL,EDTA,8,17.28040801
ApoB_LDL,EDTA,2,3.563519386
ApoB_LDL,EDTA,4,12.32244029
ApoB_LDL,EDTA,6,14.63134734
ApoB_LDL,EDTA,8,19.56123142
TG_VLDL_1,EDTA,2,-0.431219188
TG_VLDL_1,EDTA,4,3.927158522
TG_VLDL_1,EDTA,6,-1.448307922
TG_VLDL_1,EDTA,8,1.324961457
TG_VLDL_2,EDTA,2,6.619572716
TG_VLDL_2,EDTA,4,15.21002666
TG_VLDL_2,EDTA,6,21.99145333
TG_VLDL_2,EDTA,8,25.26355872
TG_VLDL_3,EDTA,2,8.596510357
TG_VLDL_3,EDTA,4,15.98478364
TG_VLDL_3,EDTA,6,23.76146072
TG_VLDL_3,EDTA,8,26.78505862
TG_VLDL_4,EDTA,2,5.059870383
TG_VLDL_4,EDTA,4,5.944775627
TG_VLDL_4,EDTA,6,12.51696895
TG_VLDL_4,EDTA,8,12.49964445
TG_VLDL_5,EDTA,2,-2.285636774
TG_VLDL_5,EDTA,4,-12.28521876
TG_VLDL_5,EDTA,6,-15.77882415
TG_VLDL_5,EDTA,8,-22.10784019
CHOL_VLDL_1,EDTA,2,1.707219004
CHOL_VLDL_1,EDTA,4,7.50442798
CHOL_VLDL_1,EDTA,6,4.688606909
CHOL_VLDL_1,EDTA,8,7.70275029
CHOL_VLDL_2,EDTA,2,10.92009887
CHOL_VLDL_2,EDTA,4,23.36200387
CHOL_VLDL_2,EDTA,6,30.99180643
CHOL_VLDL_2,EDTA,8,34.86177657
CHOL_VLDL_3,EDTA,2,11.84521649
CHOL_VLDL_3,EDTA,4,24.91242045
CHOL_VLDL_3,EDTA,6,31.52353826
CHOL_VLDL_3,EDTA,8,36.0728088
CHOL_VLDL_4,EDTA,2,9.654479112
CHOL_VLDL_4,EDTA,4,19.77897019
CHOL_VLDL_4,EDTA,6,30.77079935
CHOL_VLDL_4,EDTA,8,30.66727456
CHOL_VLDL_5,EDTA,2,-16.53910809
CHOL_VLDL_5,EDTA,4,-45.44888001
CHOL_VLDL_5,EDTA,6,-39.5472749
CHOL_VLDL_5,EDTA,8,-69.42247848
fCHOL_VLDL_1,EDTA,2,1.017548592
fCHOL_VLDL_1,EDTA,4,10.12784424
fCHOL_VLDL_1,EDTA,6,10.09800967
fCHOL_VLDL_1,EDTA,8,11.7204845
fCHOL_VLDL_2,EDTA,2,6.811911288
fCHOL_VLDL_2,EDTA,4,14.90595345
fCHOL_VLDL_2,EDTA,6,17.62807935
fCHOL_VLDL_2,EDTA,8,21.80899118
fCHOL_VLDL_3,EDTA,2,9.40201238
fCHOL_VLDL_3,EDTA,4,19.1122103
fCHOL_VLDL_3,EDTA,6,22.66992267
fCHOL_VLDL_3,EDTA,8,27.34165219
fCHOL_VLDL_4,EDTA,2,9.432796773
fCHOL_VLDL_4,EDTA,4,16.65110594
fCHOL_VLDL_4,EDTA,6,23.25888875
fCHOL_VLDL_4,EDTA,8,25.57357862
PHOSL_VLDL_1,EDTA,2,-2.417613439
PHOSL_VLDL_1,EDTA,4,3.959544772
PHOSL_VLDL_1,EDTA,6,-1.464721332
PHOSL_VLDL_1,EDTA,8,-0.059864623
PHOSL_VLDL_2,EDTA,2,5.916919708
PHOSL_VLDL_2,EDTA,4,16.40715152
PHOSL_VLDL_2,EDTA,6,21.26277626
PHOSL_VLDL_2,EDTA,8,24.78147507
PHOSL_VLDL_3,EDTA,2,6.945714346
PHOSL_VLDL_3,EDTA,4,16.57953472
PHOSL_VLDL_3,EDTA,6,20.97660049
PHOSL_VLDL_3,EDTA,8,24.69305961
PHOSL_VLDL_4,EDTA,2,5.314378053
PHOSL_VLDL_4,EDTA,4,9.073219056
PHOSL_VLDL_4,EDTA,6,15.18773391
PHOSL_VLDL_4,EDTA,8,15.00933825
PHOSL_VLDL_5,EDTA,2,-1.949333866
PHOSL_VLDL_5,EDTA,4,-12.38274724
PHOSL_VLDL_5,EDTA,6,-11.24385001
PHOSL_VLDL_5,EDTA,8,-24.44661658
TG_LDL_1,EDTA,2,-0.226952673
TG_LDL_1,EDTA,4,-0.495868797
TG_LDL_1,EDTA,6,5.352480418
TG_LDL_1,EDTA,8,2.975203589
TG_LDL_2,EDTA,2,-4.371661513
TG_LDL_2,EDTA,4,-6.310423025
TG_LDL_2,EDTA,6,-5.819229623
TG_LDL_2,EDTA,8,-8.132253755
TG_LDL_3,EDTA,2,-1.384322028
TG_LDL_3,EDTA,4,0.643706315
TG_LDL_3,EDTA,6,-0.655187271
TG_LDL_3,EDTA,8,-0.536490201
TG_LDL_4,EDTA,2,7.587913324
TG_LDL_4,EDTA,4,14.62543494
TG_LDL_4,EDTA,6,16.07528376
TG_LDL_4,EDTA,8,21.06679424
TG_LDL_5,EDTA,2,11.84570039
TG_LDL_5,EDTA,4,27.00548577
TG_LDL_5,EDTA,6,31.87023253
TG_LDL_5,EDTA,8,37.27791769
TG_LDL_6,EDTA,2,5.320919417
TG_LDL_6,EDTA,4,16.13045307
TG_LDL_6,EDTA,6,17.22383437
TG_LDL_6,EDTA,8,23.09833339
CHOL_LDL_1,EDTA,2,-5.086696646
CHOL_LDL_1,EDTA,4,-5.754450364
CHOL_LDL_1,EDTA,6,-4.291598321
CHOL_LDL_1,EDTA,8,-6.76059671
CHOL_LDL_2,EDTA,2,-7.597716563
CHOL_LDL_2,EDTA,4,-11.58241318
CHOL_LDL_2,EDTA,6,-5.367777028
CHOL_LDL_2,EDTA,8,-9.116478125
CHOL_LDL_3,EDTA,2,-8.946800939
CHOL_LDL_3,EDTA,4,-10.10681227
CHOL_LDL_3,EDTA,6,-16.05454328
CHOL_LDL_3,EDTA,8,-12.18709363
CHOL_LDL_4,EDTA,2,-0.265656085
CHOL_LDL_4,EDTA,4,4.362500796
CHOL_LDL_4,EDTA,6,-2.828105462
CHOL_LDL_4,EDTA,8,6.721461397
CHOL_LDL_5,EDTA,2,10.31266448
CHOL_LDL_5,EDTA,4,26.20420303
CHOL_LDL_5,EDTA,6,29.80912393
CHOL_LDL_5,EDTA,8,37.53332034
CHOL_LDL_6,EDTA,2,11.57126572
CHOL_LDL_6,EDTA,4,28.19900126
CHOL_LDL_6,EDTA,6,34.16075682
CHOL_LDL_6,EDTA,8,41.51259518
fCHOL_LDL_1,EDTA,2,-0.065931094
fCHOL_LDL_1,EDTA,4,3.710604537
fCHOL_LDL_1,EDTA,6,9.756912406
fCHOL_LDL_1,EDTA,8,9.546082047
fCHOL_LDL_2,EDTA,2,0.195548137
fCHOL_LDL_2,EDTA,4,1.796900852
fCHOL_LDL_2,EDTA,6,11.27990396
fCHOL_LDL_2,EDTA,8,11.72120237
fCHOL_LDL_3,EDTA,2,0.489161711
fCHOL_LDL_3,EDTA,4,0.701958612
fCHOL_LDL_3,EDTA,6,1.930323926
fCHOL_LDL_3,EDTA,8,6.477505471
fCHOL_LDL_4,EDTA,2,3.689971751
fCHOL_LDL_4,EDTA,4,7.595144357
fCHOL_LDL_4,EDTA,6,6.295955882
fCHOL_LDL_4,EDTA,8,14.54022989
